                                                        sepal_length,sepal_width,petal_width,Versicolor,Setosa,Virginica,petal_length
5.1,3.6,0.2,0,1,0,1.4
4.9,3,0.2,0,1,0,1.4
4.7,3.2,0.2,0,1,0,1.3
4.6,3.1,0.2,0,1,0,1.5
5,3.6,0.2,0,1,0,1.4
5.4,3.9,0.4,0,1,0,1.7
4.6,3.4,0.3,0,1,0,1.4
5,3.4,0.2,0,1,0,1.5
4.4,2.9,0.2,0,1,0,1.4
4.9,3.1,0.1,0,1,0,1.5
5.4,3.7,0.2,0,1,0,1.5
4.8,3.4,0.2,0,1,0,1.6
4.8,3,0.1,0,1,0,1.4
4.3,3,0.1,0,1,0,1.1
5.8,4,0.2,0,1,0,1.2
5.7,4.4,0.4,0,1,0,1.5
5.4,3.9,0.4,0,1,0,1.3
5.1,3.5,0.3,0,1,0,1.4
5.7,3.8,0.3,0,1,0,1.7
5.1,3.8,0.3,0,1,0,1.5
5.4,3.4,0.2,0,1,0,1.7
5.1,3.7,0.4,0,1,0,1.5
4.6,3.6,0.2,0,1,0,1
5.1,3.3,0.5,0,1,0,1.7
4.8,3.4,0.2,0,1,0,1.9
5,3,0.2,0,1,0,1.6
5,3.4,0.4,0,1,0,1.6
5.2,3.5,0.2,0,1,0,1.5
5.2,3.4,0.2,0,1,0,1.4
4.7,3.2,0.2,0,1,0,1.6
4.8,3.1,0.2,0,1,0,1.6
5.4,3.4,0.4,0,1,0,1.5
5.2,4.1,0.1,0,1,0,1.5
5.5,4.2,0.2,0,1,0,1.4
4.9,3.1,0.2,0,1,0,1.5
5,3.2,0.2,0,1,0,1.2
5.5,3.5,0.2,0,1,0,1.3
4.9,3.6,0.1,0,1,0,1.4
4.4,3,0.2,0,1,0,1.3
5.1,3.4,0.2,0,1,0,1.5
7,3.2,1.4,1,0,0,4.7
6.4,3.2,1.5,1,0,0,4.5
6.9,3.1,1.5,1,0,0,4.9
5.5,2.3,1.3,1,0,0,4
6.5,2.8,1.5,1,0,0,4.6
5.7,2.8,1.3,1,0,0,4.5
6.3,3.3,1.6,1,0,0,4.7
4.9,2.4,1,1,0,0,3.3
6.6,2.9,1.3,0,0,1,4.6
5.2,2.7,1.4,0,0,1,3.9
